Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
							
2009	2009/08424	Bir Adaptif Abone Yönlendirme Sistemi	Bahri Okuroðlu				Bu buluþ, uluslararasý dolaþým yapan GSM abonelerini asýl operatörün (HPLMN) istediði yabancý operatörler arasýnda parametrelere baðlý olarak yönlendiren bir sistem ile ilgilidir.
2009	2009/08427	Bir Ücretlendirme Kontrolü Sistemi	Hasan Özgür Genç				Bu buluþ, GSM  þebekelerindeki ücretlendirme sistemlerindeki doðruluðu kontrol eden bir sistem ile ilgilidir.
2009	2009/09165	Bir Uzaktan Kontrol Sistemi ve Yöntemi	Can Hüzmeli				Bu buluþ her türden mobil iþletim sisteminin merkezi bir sunucu tarafýndan yönetilmesini ve mobil iþletim sistemine ait tüm ekranlarýn otomatik ve anlýk olarak güncellenmesini saðlayan mobil cihazlar için bir uzaktan kontrol sistemi ve yöntemi ile ilgilidir.
2009	2009/09920	Bir Hastalýk Tespit ve Bildirim Sistemi	Mehmet Emin Özgül				Bu buluþ, kanda çözünmüþ oksijen oranýnýn sürekli gözlemlenmesiyle sebebi bilinmeyen ani bebek ölümleri ve benzeri solunum sorunlarýnýn önceden fark edilmesini ve önlenebilmesini saðlayan bir hastalýk tespit ve bildirim sistemi ile ilgilidir.
2009	2009/09919	Kiþisel Arþiv Oluþturma Sistemi	Özgür Devrim Orman				Bu buluþ kullanýcýnýn hareketlerini algýlamayý saðlayan en az bir algýlayýcý, kullanýcýnýn sisteme dahil olan cihazlarla iletiþimini saðlayan en az bir iletiþim aðý, kullanýcýnýn verileri etiketleri vb. verilen depolandýðý en az bir arþiv ile kullanýcý tercihlerini kullanýcýnýn ziyaret edeceði hedef sistemlere mobil ortam üzerinden aktararak hedef cihazlarý kullanýcýya uygun hale getirilmesini saðlayan bir kiþisel arþiv oluþturma sistemi ve yöntemi ile ilgilidir. 
2009	2009/09918	Bir Konum Paylaþým Sistemi	Mehmet Emin Özgül				Bu buluþ, GSM þebekesindeki abonelerin seçtikleri kiþiler ile konum bilgilerinin paylaþýldýðý bir sistem ile ilgilidir. 
2009	2009/09917	Bir Güvenli Að Eriþim Sistemi ve Yöntemi	Mehmet Emin Özgül - Ýbrahim Refhan Özgörür				Bu buluþ, biliþim ve çoklu ortam amacýyla kullanýlan elektronik cihazlarýn GSM þebekesi üzerinden uzak aðlarda bulunan bilgilere güvenli eriþimini saðlayan ve bu cihazlar üzerinden yapýlacak að iþlemlerinin, içerik paylaþýmýnýn ve daðýtýmýnýn güvenli kimlik doðrulamasý ile gerçekleþtirilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2009	2009/09916	Bir Görüntüleme Cihazý ve Yöntemi	Mehmet Emin Özgül				Bu buluþ, ayný ekraný farklý açýlardan seyreden kullanýcýlara farklý görüntüler ileten, birim hücrelere gelen ýþýk hüzmelerinin birbirine karýþmasýný engelleyen bir ýþýk geçirmez yüzey, gelen ýþýk hüzmesinin ilgili hücreye aktarýlmasýný saðlayan bir alt tam geçirgen yüzey, gelen ýþýk hüzmelerinin ilgili hücreden çýkabilmesini saðlayan bir üst tam geçirgen yüzey içeren bir birim hücre içeren bir görüntüleme cihazý ile ilgilidir.
2009	2009/09977	Sim Kartlarýn GSM Sistemlerine Tanýtým Maliyetlerinin Düþürüldüðü Bir Sistem	Alp Sardað-Rahmi Cem Çevikbaþ				Bu buluþ, SIM kartlarýn GSM sistemlerine tanýtým maliyetlerinin düþürülmesi için; SIM karta sahip bir cihaz, bir EIR birimi, bir SIM kart tanýmlama merkezi, bir HLR ve CAS sistemleri kullanarak IMEI ve IMSI kontrolünün ilk yapýldýðý yer olan EIR biriminin özelleþtirildiði bir sistem ile ilgilidir.
