Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2011	2011/06245	Bir Otomatik Dosya Üretme Sistemi ve Yöntemi	Ayþen Çerik				Her türlü dosya oluþturma ve gönderme iþlemi için  belirli bir veri tabanýndan verinin alýnmasý ve dosyaya yazýlmasýný saðlayan bir otomatik dosya üretme sistemi ve yöntemi ile ilgilidir.
2011	2011/06312	Bir Test Performans Sistemi	Nursel Avcý				Yazýlým parçalarýnýn testlerinin gerçeklendiði test sistemlerinde tanýmlanan test dizayn örüntülerinin kullanýldýðý bir test performans sistemi ile ilgilidir.
2011	2011/06313	Bir Sesli Fatura Bildirim Sistem ve Yöntemi	Hakan Kayýþ-Ýrfan Çuha				Görme engelli insanlarýn faturalarýný çaðrý merkezi aracýlýðýyla dinlemelerini saðlayan ve engelli kiþilerin hayatýný kolaylaþtýran bir sistem ve yöntemle ilgilidir.
2011	2011/06314	Bir Fatura Bildirim Sistem ve Yöntemi	Hakan Kayýþ-Ýrfan Çuha				Görme engelli insanlarýn faturalarýný bilgisayarlarýndan çeþitli programlar yardýmýyla dinlemelerini ve görme engelli kiþiler tarafýndan okunabilen bir alfabe ile basýlmýþ haline ulaþmalarýný saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/06315	Bir Optik Karakter Tanýma Ön Ýþleme Yöntemi	Oðuz Demirci				Optik karakter tanýma verimliliðinin ve doðruluðunun geliþtirilmesini saðlayan bir optik karakter tanýma ön iþleme yöntemi ile ilgilidir.
2011	2011/06316	Bir Fatura Analiz Sistemi	Gülçin Gürses				GSM abonelerinin faturalarýnda kullaným analizlerini görsel olarak sunan bir fatura analiz sistemi ile ilgilidir.
2011	2011/06440	Bir Hiyerarþik Baðlantý Belirleme Sistemi ve Yöntemi	Selçuk Saraç				GSM þebekesindeki baz istasyonlarý arasýnda hiyerarþik baðlantýlarýn belirlenmesinde kullanýlan bir yöntemle ilgilidir.
2011	2011/06502	Metin Dosyalarýndaki Deðiþimlerin Algýlanmasý Ýçin Bir Sistem ve Yöntem	Fatih Lütfi Feran				Yýðýn veri iþleme sistemlerine girdi olarak ulaþan sabit dosya biçemli metin dosyalarýnýn yapýlarýnda meydana gelen deðiþikliklerin otomatik olarak belirlenmesi ile ilgilidir. 
2011	2011/06503	Parzen Penceresi Yöntemi Ýle Otomatik Alarm Filtresi Üretim Sistemi ve Yöntemi	Onur Sarkan-Zehra Çataltepe				Alarm üreten her türden þebekeden gelen alarmlarýn tarihçesini inceleyip parzen penceresi yöntemiyle geçici alarm tiplerini bulan ve bu alarm tiplerini filtreleyerek gözlemlenen alarm sayýsýný azaltan bir otomatik alarm filtresi üretim sistemi ve yöntemi ile ilgilidir.
2011	2011/06504	Alarm Korelasyon Filtrelerinin Üretiminde Kullanýlan Bir Sistem	Onur Sarkan-Sevcen Sökmen				Ýstatistiksel makine öðrenmesi benzerlik metriklerinin kullanýlmasý ile alarm korelasyon filtrelerinin otomatik olarak üretildiði bir sistemle ilgilidir. 
2011	2011/06505	Bir Numara Gizleme Sistemi ve Yöntemi	Eren Avþaroðullarý				Mobil cihaz kullanýcýlarýnýn telefon numaralarý arayan ve aranan kiþi tarafýndan bilinmeden çaðrý kurabilmelerini saðlayan bir numara gizleme sistemi ve yöntemi ile ilgilidir.
2011	2011/06506	Uzaktan Uyarý Gönderimi Ýçin Bir Sistem ve Yöntem	Ozan Uysal- Mustafa Esat Belhan- Enes Þen- Kemal Yýlmaz				Mobil cihaz üzerindeki uygulamalarýn bildirim iþlemlerinde mobil cihazýn sunucuya baðlanmasý yerine sunucunun mobil cihaza baðlanmasý üzerine kurulan bir sistem ve yöntem ile ilgilidir.
2011	2011/06507	Bir Uzaktan Cihaz Yönetim Sistemi ve Yöntemi	Ozan Uysal- Mustafa Esat Belhan- Enes Þen- Kemal Yýlmaz				Mobil cihaz kullanýcýlarýnýn cihazlarýnýn yanlarýnda olmadýðý durumlarda her türlü iþlemi cihaz yanlarýndaymýþ gibi gerçekleþtirebilmelerini saðlayan bir uzaktan cihaz yönetim sistemi ve yöntemi ile ilgilidir.
2011	2011/07858	Bir Cihaz Yönetim Sistemi	Ýbrahim Serhan Bulca				Mobil operatör abonelerinin kullandýklarý mobil cihazlarýn tarihsel olarak sýralanmasýný, cihaz deðiþikliði bilgisinin farklý servis saðlayýcýlarýna gönderilmesini saðlayan bir cihaz yönetim sistemi ile ilglidir.
2011	2011/07991	Abonelerin Yurtdýþýnda Uluslararasý Dolaþýma Açýlmalarý Ýçin Bir Sistem ve Yöntem	Orçun Uzun-Bahri Okuroðlu-Mert Deva 				GSM þebekelerinde harici dolaþýmdaki abonelerin otomatik olarak uluslararasý dolaþýma açýk hale getirilmesine olanak saðlayan bir sistem ve yöntemlerle ilgilidir.
2011	2011/08051	Komut Dosyasý Oluþturmak Ýçin Bir Sistem ve Yöntem	Selçuk Saraç-Bekir Vural-Uður Karanfil				Telekomünikasyon sektöründe GSM þebeke yönetiminin ve operasyonel çözümlerin gerçekleþtirilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/08614	Uluslararasý Dolaþýma Kapalý Aboneler Ýçin Bir Sistem ve Yöntem	Bahri Okuroðlu				GSM operatörlerinin abonelerini yabancý ülkelerde istedikleri operatörlere yönlendirmesini saðlayan abone yönlendirme sistemleri ve GSM abonelerinin kazara komþu ülke operatörlerinden servis almasýný engelleyen kazara uluslararasý dolaþým önleme sistemlerinin çalýþmasýný uluslararasý dolaþýma kapalý abonelere göre yapýlandýrmýþ bir sistem ve yöntemle ilgilidir.
2011	2011/08615	Veri Deðiþiklik Takibi Ýçin Bir Sistem ve Yöntem	Erkan Sarýkaya 				Veri tabanlarýnda tablo olarak tutulan bilgilerin operasyonel açýdan deðiþiklik takibinin otomatik olarak gerçekleþtirilmesine olanak saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/08742	Ýþ Zamanlayýcýsý Ýçin Bir Yöntem	Veysel Can Demir-Ünsal Yüksel				Ýþ zamanlayýcýlarda kritik iþ yolunu etkileyen iþlerin toplam bitiþ sürelerinin düzenlenmesini saðlayan bir yöntemle ilgilidir.
2011	2011/08932	Bir Popüler Ýçerik Önerme Sistemi	Caner Kurtul-Kemal Kaplan				Portallerde popüler içerik katagorilerinin otomatik olarak doldurulmasý için arama motorlarý ve/veya sosyal aðlardaki trendler doðrultusunda popüler içeriði listeleyen bir önerme sistemi ile ilgilidir.
2011	2011/09459	Bir Dijital Haklar Yönetim Sistemi ve Yöntemi	Caner Kurtul-Kemal Kaplan				Dijital müzik içeriklerinin daðýtým zincirinde son kullanýcýya kadar olan aktarýmý hakkýndaki bilgilerin kontrol edilebilir þekilde mobil cihaz sahiplerine sunulmasýný saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/09509	Bir Dijital Ýçerik Yapýlandýrma ve Sunma Sistemi ve Yöntemi	Caner Kurtul-Kemal Kaplan				Dijital içeriklerin mobil kullanýcýlara en uygun özelliklerde ve en iyi fiyat performansý ile sunulmasýný saðlayan bir dijital içerik yapýlandýrma ve sunma sistemi ve yöntemi ile ilgilidir.
2011	2011/09708	Test Otomasyon Senaryo (Case) Sayýsý Öneri Sistemi	Merve Sakarya Aybar				Test aþamasýnda olan yazýlým projeleri için yazýlmasý ve/veya koþulmasý gereken test otomasyon senaryo sayýsýnýn belirlenmesinde kullanýlan bir öneri sistemi ile ilgilidir.
2011	2011/09707	Bir Olay Sorgulama Sistemi ve Yöntemi	Serap Koç				Mobil cihaz kullanýcýlarýnýn mobil cihazlarý vasýtasýyla çevrelerindeki konser, maç gibi olaylarýn sorgulamasýný yapmalarýný saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/09706	Kampanya Teklif Yöntemi Ýçin Bir Sistem	Nilay Sertler Boztaþ-Olcay Atlýoðlu				Kod geliþtirmeye gerek kalmadan abonelere sunulan kampanya tekliflerinin yönetilebilmesine olanak saðlayan bir sistem ile ilgilidir.
2011	2011/09705	Bir Mobil Finansal Ýþlem Sistemi ve Yöntemi	Þaner Ateþ				Mobil cihaz kullanýcýlarýnýn mobil cihazlarý vasýtasýyla güvenli bir þekilde finansal iþlemlerini gerçekleþtirmelerini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/09704	Bir Mobil Geçiþ Sistemi ve Yöntemi	Aslý Karatay-Fundagül Kaya				Mobil telefon kullanýcýlarýnýn otoyol ve/veya köprülerden geçiþlerini sahip olduklarý GSM hatlarý ile yaptýðý bir mobil geçiþ sistemi ve yöntemi ile ilgilidir.
2011	2011/09703	Bir Abone Tespit ve Bilgilendirme Sistemi ve Yöntemi	Gözde Kaymaz-Serkan Çaðlar				Tanýmlý harita alanlarý içerisinde kalan baz istasyonlarýndan hizmet alan mobil cihaz abonelerinin olay tabanlý ve gerçeðe yakýn zamanlý olarak tespit edilmesini ve bilgilendirilmesini saðlayan bir abone tespit ve bilgilendirme sistemi ve yöntemi ile ilgilidir.
2011	2011/09702	Bir Efor Öngörü Sistemi	Selami Baðrýyanýk				Ölçüm uzmanlarý tarafýndan fonksiyonel büyüklük lçümü yapýlan yazýlým proje gereksinimlerin efor maliyetlerinin hesaplandýðý bir efor öngörü sistemi ile ilgilidir.
2011	2011/09701	Cihaz Nitelikleri Veri Tabanýnýn Güncellenmesi Ýçin Bir Sistem ve Yöntem	Caner Kurtul-Kemal Kaplan				Mobil cihaz niteliklerine dair bilgilerin tutulduðu veri tabanýnýn mobil cihaz kullanýcýsýndan alýnan geri bildirim ile ve tanýmlanan kurallarla güncellenmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/09700	STK Menülerine Eriþimin Saðlanmasýnda Kullanýlan Bir Sistem ve Yöntem	Alp Sardað-Rahmi Cem Çevikbaþ				STK menülerine standart ve kolay eriþimin saðlanmasýnda kullanýlan bir sistem ve yöntemle ilgilidir.
2011	2011/09709	Bir Yeni Kural Kontrol Sistemi ve Yöntemi	Fundagül Kaya-Ýpek Köse				Alarm bazlý entegre sistemlerde yeni eklenen kurallarýn doðruluðunun regresyon testleri ile kontrol edilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/09710	Afet Bölgesindeki Abonelerin Yer Bilgilerinin Haber Verilmesini Saðlayan Bir Sistem ve Yöntem	Ali Yüksel				Mobil þebeke abonelerinin yer bilgilerinin sürekli takip edilerek olasý bir afet anýnda en son kaydedilen yer bilgisinin, abonenin önceden belirlediði kiþilere iletilmesine olanak saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/11051	Ýnsansýz Ýþlem Yapabilmeyi Saðlayan Bir Sistem	Lütfiye Yetiþen Meliye				SIM kart, mobil cihaz ve kredi kartý satýþý iþlemleri ile çeþitli mobil operatör abonelik iþlemlerinin insan aracýlýðýna gerek kalmadan gerçekleþtirilmesini saðlayan bir sistem ile ilgilidir.
2011	2011/11272	Bir Kod Ýnceleme ve Deðerlendirme Sistemi ve Yöntemi	Erkan Sertoðlu-Ýsmail Koç-Mehmet Zeki Kiþi-Zafer Þirin-Onur Öneþ-Metin Altýnýþýk				Uygulama kodunun statik ve dinamik kod inceleme sonuçlarýný toplayan, iliþkilendiren, analiz ederek anlamlý sonuçlar üreten bir kod inceleme ve deðerlendirme sistemi ve yöntemi ile ilgilidir.
2011	2011/11471	Mobil Cihazlarýn Kapanmasý Ýçin Bir Sistem ve Yöntem	Pýnar Tanrýverdi				Düþük pil seviyesine ulaþmýþ bir mobil cihazýn kapatýlmasý konusunda kullanýcýdan onay istenmesini ve sonrasýnda mobil cihazýn kullanýcý onayý ile veya pil seviyesi göz önüne alýnrak otomatik olarak kapatýlmasýný saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/12292	Konum Bazlý Servis Geliþtirme Sistemi ve Yöntemi	Ali Yüksel				GSM þebekelerinde konum bazlý servis geliþtirme için gerekli arayüzleri sunan, verileri tutan ve servis abonelerinin GSM þebekesinden konumlarýný takip eden konum bazlý bir servis geliþtirme sistemi ve yöntemi ile ilgilidir.
2011	2011/12623	E-postalarýn Dinlenilerek Deðerlendirilmesini Saðlayan Bir Sistem ve Yöntem	Mehmet Salih Avinç				Yazýlý haldeki elektronik postalarýn mobil cihaz üzerinde sesli halde dinlenilerek deðerlendirilmesine olanak saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/12817	Bir Kira Bedeli Belirleme Sistem ve Yöntemi	Recai Adar				Devre hýzý ve devre çalýþma süresi dikkate alýnarak transmisyon devrelerinin kira ödemelerinin belirlenmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/12893	Mobil Uygulamalar Geliþtirmek ve Çalýþtýrmak Ýçin Bir Sistem ve Yöntem	Ayhan Yýlmaz				Mobil uygulamalarýn geliþtirme platformundan baðýmsýz olarak geliþtirilebilmelerini, geliþtirilen uygulamalarýn deðiþikliðe gerek kalmadan farklý mobil cihaz ve iþletim sistemleri üzerinde çalýþtýrýlabilmelerini ve sunucu tarafýnda güncellenebilmelerini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/13056	Benzin Ýstasyonu Sorgulanmasýný Saðlayan Bir Sistem ve Yöntem	Türkmen Mustafa Demirci				Mobil cihaz kullanýcýlarýnýn mobil cihazlarý vasýtasýyla istedikleri zaman çevrelerindeki benzin istasyonlarýný sorgulamalarýný saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/13057	Konum Bazlý Fýrsat Sunma Sistemi ve Yöntemi	Sedat Okçuoðlu				Müþterilerin konumlarýna baðlý olarak GSM þebekesi üzerinden belirli ürünlerdeki belirli ürünlerdeki belirli fýrsatlar hakkýnda müþterilerin bilgilendirmelerini saðlayan bir fýrsat sunma sistemi ve yöntemi ile ilgilidir. 
2011	2011/13058	Bir Abone Kayýt Sistemi	Alper Semerci				Optik karakter tanýma yöntemi kullanýlarak abone iþlemlerinin gerçekleþtirildiði bir abone akyýt sistemi ile ilgilidir.
2011	2011/13059	Bir IMSI Kaydý Çýkarma (Detach) Sistemi ve Yöntemi	Mehmet Zeki Ersen 				Bir mobil cihazýn þarjý bitip kapandýðýnda IMSI kaydýný þebekeden çýkaran bir IMSI kaydý çýkarma sistemi ve yöntemi ile ilgilidir. 
2011	2011/13060	Bir Ön Onay Sistemi ve Yöntemi	Hakan Kayýþ				Banka kartý veya kredi kartý iþlemlerinde iþlem öncesi kullanýcýnýn vereceði talimatýn teyit amaçlý kullanýldýðý bir ön onay sistemi ve yöntemi ile ilgilidir.
2011	2011/13061	Kapsama Alaný Dýþýnda Kalan Bölgelerin Belirlenmesi Ýçin Bir Sistem ve Yöntem	Ayhan Yýlmaz				Kullanýcý mobil cihazýnýn aldýðý sinyallerin ölçümü yapýlarak kapsama alaný dýþýna çýkan veya zayýf sinyal alan kullanýcýnýn hangi bölgelerde kapsama alaný dýþýna çýktýðýnýn veya zayýf sinyal aldýðýnýn belirlenmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/13126	Bir Uzaktan Hasta Yönetim Cihazý ve Yöntemi	Mehmet Emin Özgül-Emre Tavþancýl-Kamil Erman				Özellikle kronik hastalýklarýn takip edilmesini ve kontrol altýnda tutulmasýný kolaylaþtýran bir uzaktan hasta yönetim cihazý ve yöntemi ile ilgilidir.
2011	2011/13127	Bir Trafik Kontrol Sistemi	Ýbrahim Dokuzer				Takograf cihazlarý ile ya da araç üzerindeki elektronik kontrol üniteleri ile birlikte çalýþan ve aracýn trafikteki bilgilerini toplayýp anlamlandýran bir trafik kontrol sistemi ile ilgilidir.
2011	2011/13215	Bir Konum Bazlý Mobil Reklam Sistemi ve Yöntemi	Kazým Umut Aþkýn				Kullanýcýnýn bulunduðu konuma göre farklý firmalarýn reklamlarýný mobil cihaz arka ton reklamý olarak almalarýný saðlayan konum bazlý mobil reklam sistemi ve yöntemi ile ilgildir.
2011	2011/13216	Durum Duyarlý Bir Güç Gözlem Sistemi	Mehmet Emin Özgül-Cem Ayyýldýz-Servet Ayok				Birbirleriyle baðlantýlý gömülü sistemlerin farklý çalýþma koþullarýnda güç sarfiyatlarýnýn söz konusu çalýþma koþulu bilgileri ile beraber gözlemlenmesini ve gerçeðe yakýn güç tüketim modellerinin oluþturulmasýný saðlayan durum duyarlý bir güç gözlem sistemi ile ilgilidir.
2011	2011/13217	Bir Lokasyon Bazlý Aktivite Yoðunluk Bildirme Sistemi ve Yöntemi	Kazým Umut Aþkýn				Belirlenmiþ bir alan haritasý üzerinde lokasyonlarýna eriþim için onaylarý alýnmýþ kullanýcýlarýn hobilerine ve/veya aktivitelerine göre harita üzerinde gerçek zamanlý popülasyon/yoðunluk daðýlýmýný gösteren bir lokasyon bazlý aktivite yoðunluk bildirme sistemi ve yöntemi ile ilgilidir.
2011	2011/13218	Aksaklýk Yönetimi Ýçin Bir Sistem ve Yöntem	Onur Sarkan-Sevcen Sökmen				GSM þebekelerinde önemli þebeke problemleri saptandýðýnda oluþturulan alarm sonucunda ilgili teknik personelin otomatik olarak telefonla aranmasýný saðlayarak problemlerin çözümü için ilgili teknik personelin iþlem yapabilmesine olanak saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/13219	Dolaþým Yapan Abonelerin Çaðrý Kurulum Sürelerinin Ölçülmesini Saðlayan Bir Sistem ve Yöntem	Sinan Þengüder-Onur Bük				Mobil aðlarda geliþtirilmiþ mantik için özel uygulamalarý (CAMEL) destekleyen operatörlerde, dolaþým yapmakta olan faturalý abonelerin yerel mobil þebekeye doðru yapýlan çaðrýlarýnda çaðrý kurulum süresinin ölçülmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/13220	Bir Müþteri Davranýþlarý Ýnceleme Sistemi ve Yöntemi	Mustafa Kýraç				Müþteri davranýþlarýna iliþkin bilgileri kullanarak davranýþ olasýlýklarýný hesaplayan bir sistem ve yöntemle ilgilidir.
2011	2011/13271	Bir Tahmin Hesaplama Sistemi ve Yöntemi	Mustafa Esen Tuna				Telekomünikasyon kullaným verisini kullanarak ileriye dönük genelleþtirilmiþ tahminlerin hesaplandýðý bir tahmin hesaplama sistemi ve yöntemi ile ilgilidir.
2011	2011/13272	Lokasyon Bazlý Bir Ajanda Sistemi ve Yöntemi	Kazým Umut Aþkýn-Levent Tokmak				Lokasyon tabanlý bir platform üzerinde kurulmuþ, hatýrlatma iþlevine de sahip olan bir ajanda sistemi ve yöntemi ile ilgilidir.
							
2012	2012/02751	UZAKTAN ÖDEME SÝSTEMÝ	HASAN ÖZGÜR GENÇ				Bu bulus, ödeme islemi yapacak bir müsterinin, alisveris yaptigi magazada bulunmasina ve POS cihazi gibi ödemenin gerçeklestirmesi esnasinda kullanilan cihazin sürekli çevrim içi olmasina gerek kalmadan ödemeyi gerçeklestirmesini saglayan bir uzaktan ödeme sistemi ve yöntemi ile ilgilidir.
2012	2012/03560	BÝR MOBÝL CÝHAZ YÖNETÝM SÝSTEMÝ VE YÖNTEMÝ	MEHMET CEM YÜCEL				Bu bulus, müzik çalabilen mobil cihazlarda bir kulaklik vasitasiyla çalan müzigin ses seviyesinin degistirilmesini, çalan müzigin ya da müzik türünün degistirilmesini saglayan bir mobil cihaz yönetim sistemi ve yöntemi ile ilgilidir.
2012	2012/03587	HÜCRE BÝLGÝSÝ YÖNETÝMÝ ÝÇÝN BÝR SÝSTEM VE YÖNTEM	PINAR TANRIVERDÝ-DENÝZ AKSOY				Bu bulus, telekomünikasyon sektöründe GSM (Global System for Mobile Communications - Mobil Iletisim Için Küresel Sistem) sebekesi içinde kullanilan baz istasyonlarina bagli olan hücreye ait bilgilerin tutarli ve sebeke içindeki bölgesel bazli teklik kisitlamasina uygun olarak yönetilmesini saglayan bir sistem ve yöntem ile ilgilidir.
2012	2012/03667	SÝM KART AKTÝVASYONU ÝÇÝN BÝR SÝSTEM VE YÖNTEM	LÜTFÝYE YETÝÞEN MELÝYE				Bu bulus, ön ödemeli SIM (Subscriber Identity Module - Abone Kimlik Modülü) kartlarin aktivasyonlari için gerekli islemlerin yeni abone tarafindan degil de mobil operatör tarafindan baslatilmasini saglayan bir sistem ve yöntem ile ilgilidir.
2012	2012/03668	ÝLETÝM BÝLGÝLERÝNÝN DAÐITIK OLARAK SUNUCU BELLEÐÝNDE TOPLANMASINI SAÐLAYAN BÝR SÝSTEM VE YÖNTEM	EMRAH SERDAR KALKAN-YUSUF UÐUR SOYSAL				Bu bulus, kisa mesaj (SMS) iletim bilgilerinin dagitik olarak sunucu belleginde toplanmasini saglayan bir sistem ve yöntem ile ilgilidir.
2012	2012/03669	KISA MESAJ GÖNDERÝMÝ ÝÇÝN BÝR SÝSTEM VE YÖNTEM	EMRAH SERDAR KALKAN-YUSUF UÐUR SOYSAL				Bu bulus, kisa mesaj, özellikle de toplu kisa mesaj gönderilirken MSISDN (Mobile Subscriber Integrated Services Digital Network Number - Mobil Abone Tümlesik Servisler Sayisal Sebeke Numarasi) kullanilmadan aboneye ait bir baska özgün bilgi kullanilarak aboneye kisa mesajin gönderilebilmesini saglayan bir sistem ve yöntem ile ilgilidir.
2012	2012/04639	ÝÞ SÜREKLÝLÝÐÝ YÖNETÝMÝ ÝÇÝN BÝR SÝSTEM	TAMER DEMÝR 				Bu buluþ doða, teknoloji ve insan kaynaklý tehlikelerden doðacak kritik kayýplarýn neden olacaðý etkilere hazýrlýklý olunmasýný saðlayan bir sistem ile ilgilidir.
2012	2012/04640	ATM CÝHAZLARINDA KULLANILAN BÝR ÖN ONAY SÝSTEMÝ VE YÖNTEMÝ	HAKAN KAYIÞ				Buluþ ATM?den para çekme iþlemlerinde belli bir limitin üstünde iþlem için SMS, smartphone client uygulamasý veya bankanýn geliþtireceði uygun kanallardan iþlem öncesi alýnacak talimatýn teyit amaçlý kullanýlmasý ile ilgilidir.
2012	2012/04835	BÝR MOBÝL CÝHAZ	ALP SARDAÐ-ERGÝ ÞENER				Buluþ NFC sistemine geçiþ yapmak isteyen POS gibi mobil ödeme cihaz kullanýcýlarýnýn NFC destekli SIM kart deðiþimi yapmalarýný ortadan kaldýran, ikinci bir akýllý kart (SAM) yuvasýna sahip bir mobil ödeme cihazý ile ilgilidir.
2012	2012/07559	MOBÝL HIRSIZ ALARMI	ALÝ YÜKSEL				Günlük hayatta kolaycak çaldýrabileceðimiz cüzdan, çanta, telefon gibi nispeten küçük eþyalarýmýzý korumak için bir sistemdir. Sistem iki bileþenden oluþur. Birisi cep telefonu diðeri ise mümkün olduðunca küçük üretilecek ve saniyeda bir belirlenen bir frekanstan ses yayýný yapacak bir cihaz. Bu iki bileþen her saniye bir biri ile ietiþime geçecek ve algý alaný içinde olup olmadýklarýný kontrol edeceklerdir. Cep telefonu zaten her zamanda yanýmýzda taþýdýðýmýz bir bileþendir. Ses yayýný yacak bileþen ise çok küçük olacak cüzdana bir koyulabilecektir. Bu þekilde çok rahat bir kullanýmý olacaktýr. Bileþenler birbirlerini bulamadýðýnda alarm vermek cep telefonunun görevi olacaktýr.
2012	2012/07560	KODLARI KONTROL EDEN SÝSTEM	ERCAN OKUMUÞ				Buluþ veri tabaný üzerinde yapýlan kodlamalarda belirlenen standartlar dýþýnda kod yazýlmasý durumunda hata veren ve kodlamayý yapan mühendisi uyaran sitem ile ilgilidir.
2012	2012/07561	SNMP DESTEKLÝ AKSAKLIK YÖNETÝM SÝSTEMÝ	MEHMET ONUR SARKAN-MAHMUT SEZENOL-SEVCEN SÖKMEN				Bu buluþ, bir&nbsp;GSM(Global System for Mobile Communications - Mobil Ýletiþim için Küresel Sistem) þebekesi üzerinde,&nbsp;þebeke elemanlarýndan SNMP(Simple Network Management Protocol - Basit Að Yönetim Protokolü) protokolü üzerinden gelen alarmlarýn yönetiminin, hiçbir yazýlým geliþtirme olmadan, kullanýcý arayüzleri ile hýzlý bir þekilde uygulanmasýný saðlayan bir aksaklýk yönetim sistemi ile ilgilidir.
2012	2012/07562	GET COUNT ÜZERÝNDEN KAMPANYA ÇIKMA	BERNA GÜDEROÐLU				"
Aboneye direk kendimizin ulaþtýðý kampanyalar outbound kampanyalarýmýzdýr.
Bu kampanyalar hazýrlanýrken flowda kriterler seçilerek bu kampanyanýn kimlere çýkacaðýný belirleriz. Örneðin bu gün doðum günü olan, istanbulda yaþayan 30 yaþ üstü abonelere bir fayda vereceksek bu yapýyý kullanýyoruz. Flowda kriterleri hazýrladýktan sonra hedef kitlenin kaç kiþiden oluþtuðunu görmek için ise Get Count özelliði kullanýlmaktadýr. Get Count iþlemini yaptýktan sonra hedef kitleyi görürüz ve bizim için uygun ise hedef kitle sonrasýnda kampanyayý çýkarýz. 
Sistem Get Count yapýldýktan sonra, hedef kitleyi uygun bir yapýda tekrar hedefleme yapýlmasýna gerek kalmadan tutar. Ve istenirse bu data üzerinden tekrar bir hesaplama yapmaya gerek kalmadan zaman ve performanstan tasarruf ederek kampanya çýkýlýr . Sistem , istenirse seçme baðlý olarak hedef kitleyi tekrar hesaplayarakta kampanya çýkýþýna izin vermektedir.
   
"
2012	2012/07563	YAZILIM TESTLERÝNÝN GERÇEKLENDÝÐÝ TEST SÝSTEMLERÝNDE ORTAYA ÇIKAN HATALARI TANIMLAYAN VE ÇÖZÜM ÖNERÝSÝ SUNAN TEST PLATFORMU	OZAN AKKOCA				Yazýlým test sistemlerinde ortaya çýkan hatalarýn tespitinin yapýlmasýnda sorun yaþanmaktadýr. Oluþturulacak sistem, hatalarý ve hatalarýn çözümlerini bir veri-tabanýnda saklayarak, daha kýsa zamanda tespit edilmesini saðlayacak ve çözüm önerisi sunacaktýr.
2012	2012/07564	TÝM MÝMARÝSÝ	MEHMET EMÝN ÖZGÜL-CEM AYYILDIZ-KAMÝL ERMAN-SEDA ERBORAL-SERVET AYOK				"Turkcell Ýletiþim Modülü (TÝM) birbirleri ile baðlantýlý gömülü sistemler veya telekomünikasyon alanýndaki adýyla makinadan makinaya iletiþim (M2M) sistemlerinin planlanmasýný, geliþtirilmesini ve uygulanmasýný hýzlandýran bir mimariyi tanýmlamaktadýr.
Buluþ TÝM kullanýlan M2M gömülü sistemleri için geliþtirilen standart bir fiziksel ve elektriksel baðlantý arayüzü tanýmlamaktadýr. Bu arayüz sayesinde, tüm ortak donaným ve yazýlým bileþenlerini üzerinde toplayan TÝM cihazýnýn, amaçlanan M2M gömülü sistemi iþlevlerini yerine getirecek ana donanýmýn üzerine kolaylýkla eklenmesi, bozulduðunda veya yeni bir sürüm kullanýlmasý gerektiðinde kolaylýkla yenisiyle deðiþtirilebilmesi, ana donaným üzerindeki gereksinimlerin azaltýlmasý, ayný fiziksel ve elektriksel arayüzlerle çalýþan ana donanýmlarýn yeni model ve sürümlerinin geliþtirilmesi için gereken çabanýn ve olasý risklerin azaltýlmasý saðlanmaktadýr.
TÝM’in fiziksel boyutu ve þekli için PCI-Express Mini standardý temel alýnmýþtýr.TÝM PCI-Express Mini standardýnda tanýmlanan elektriksel baðlantý bacak yapýsýný sadece fiziksel olarak kullanmakta, bacaklarýn tanýmlarý ve kullaným amaçlarý TÝM’e özgüdür.
"
2012	2012/07605	ADRES AYRIÞTIRAN VE BÝRLEÞTÝREN SÝSTEM	ERCAN OKUMUÞ				Buluþ text olarak girilmiþ bir adres bilgisini referans dataya göre ayrýþtýran veya ayrýþmýþ bir adresi pota adresi haline getiren (birleþtiren) sistemdir.
